"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"26/04/2024","41,29","41,41","0,78","41,07","41,78","1,31B"
"25/04/2024","40,29","41,09","2,40","39,98","41,34","2,68B"
"24/04/2024","40,44","40,13","-0,46","40,11","40,87","1,82B"
"23/04/2024","40,29","40,31","-0,19","39,86","40,52","1,42B"
"22/04/2024","39,67","40,39","2,39","39,44","40,48","2,07B"
"19/04/2024","38,98","39,45","1,71","38,77","39,97","3,18B"
"18/04/2024","38,93","38,78","0,18","38,59","39,50","1,75B"
"17/04/2024","38,43","38,72","0,73","38,29","38,88","1,51B"
"16/04/2024","37,97","38,43","0,46","37,91","38,65","1,42B"
"15/04/2024","37,90","38,26","0,95","37,60","38,39","1,09B"
"12/04/2024","38,66","37,90","-0,92","37,66","38,98","1,51B"
"11/04/2024","38,54","38,25","-0,73","38,15","38,70","1,27B"
"10/04/2024","37,69","38,53","2,22","37,63","38,67","2,13B"
"09/04/2024","37,86","37,69","0,26","37,04","38,09","1,38B"
"08/04/2024","37,01","37,60","1,39","36,72","38,01","1,35B"
"05/04/2024","36,89","37,08","0,58","36,18","37,54","2,41B"
"04/04/2024","37,44","36,87","-1,41","36,43","38,42","7,22B"
"03/04/2024","37,66","37,39","-0,52","37,20","37,97","1,18B"
"02/04/2024","36,81","37,59","2,58","36,79","37,62","2,43B"
"01/04/2024","36,50","36,64","0,78","36,21","36,70","858,15M"
"28/03/2024","35,52","36,36","2,22","35,49","36,52","1,15B"
"27/03/2024","35,31","35,57","0,80","35,15","35,68","682,60M"
"26/03/2024","35,69","35,29","-0,93","35,20","35,69","1,82B"
"25/03/2024","35,21","35,62","1,53","35,19","35,84","952,51M"
"22/03/2024","34,94","35,09","0,98","34,48","35,25","1,20B"
"21/03/2024","35,86","34,74","-2,73","34,73","36,07","1,65B"
"20/03/2024","35,26","35,72","1,75","34,85","35,76","1,37B"
"19/03/2024","35,42","35,10","-0,74","34,61","35,86","1,71B"
"18/03/2024","35,44","35,37","0,05","34,55","35,67","1,20B"
"15/03/2024","35,33","35,35","0,28","34,98","35,46","2,63B"
"14/03/2024","35,76","35,25","-0,44","35,18","35,93","3,02B"
"13/03/2024","35,91","35,41","-1,19","35,34","36,31","4,22B"
"12/03/2024","35,38","35,83","3,28","35,19","36,23","7,08B"
"11/03/2024","34,72","34,70","-1,30","34,36","36,73","4,47B"
"08/03/2024","34,94","35,15","-10,57","34,16","36,07","8,11B"
"07/03/2024","39,55","39,31","-1,10","39,20","39,84","1,98B"
"06/03/2024","39,12","39,75","2,20","39,04","39,75","1,79B"
"05/03/2024","39,03","38,89","-0,30","38,55","39,29","1,18B"
"04/03/2024","39,19","39,01","-0,25","38,95","39,66","862,16M"
"01/03/2024","39,27","39,10","0,10","39,07","39,76","1,23B"
"29/02/2024","39,50","39,07","-0,72","38,78","40,14","2,43B"
"28/02/2024","41,38","39,35","-5,16","38,76","41,79","4,50B"
"27/02/2024","41,56","41,49","-0,14","41,25","41,67","1,15B"
"26/02/2024","40,78","41,55","1,89","40,71","41,59","1,07B"
"23/02/2024","41,01","40,78","-0,69","40,50","41,11","1,79B"
"22/02/2024","41,53","41,06","-0,75","40,68","41,54","1,32B"
"21/02/2024","41,31","41,37","0,14","41,00","41,58","862,37M"
"20/02/2024","41,63","41,31","-1,05","40,97","41,67","1,75B"
"19/02/2024","41,62","41,75","0,49","41,42","41,79","534,37M"
"16/02/2024","40,96","41,55","0,92","40,93","41,74","2,64B"
"15/02/2024","39,91","41,17","3,20","39,76","41,17","1,35B"
"14/02/2024","40,00","39,89","-0,75","39,77","40,29","732,67M"
"09/02/2024","41,01","40,19","-1,34","40,19","41,20","1,23B"
"08/02/2024","41,17","40,74","-0,81","40,74","41,31","1,05B"
"07/02/2024","40,41","41,07","1,47","40,31","41,07","1,25B"
"06/02/2024","40,34","40,48","0,92","40,17","41,22","1,45B"
"05/02/2024","39,91","40,11","0,44","39,83","40,56","1,11B"
"02/02/2024","40,47","39,93","-1,30","39,92","40,66","1,47B"
"01/02/2024","39,69","40,46","2,77","39,58","40,76","2,48B"
"31/01/2024","39,15","39,37","0,32","39,10","40,14","2,32B"
"30/01/2024","39,09","39,24","-0,62","38,98","39,65","1,37B"
